spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,rmsd,status
1,3355.28483116486,30.9680970614684,1.2983713591872,2.00149938807098,9.399319,5714.11232844249,OK
10,3348.05347907458,14.0147899115042,0.885973304886169,2.00565420182121,9.398531,20651.8346614916,OK
11,3347.92422194283,12.4056089761451,0.826587569690091,2.0056279196006,9.398045,56712.1274680936,OK
12,3354.70909944263,16.16514753299,0.87789154032893,2.00158773636437,9.398121,11274.2202886734,OK
13,3354.89593048106,14.5086599015046,0.856782290015136,2.0015576226531,9.398503,45254.8890499023,OK
14,3348.02734384581,11.8327063335647,0.789979183573577,2.00559068595236,9.39816,73702.8251560676,OK
15,3348.20889016086,9.8719442161615,0.600959942248337,2.00551309404759,9.398306,269363.415367857,OK
16,3354.90483408602,13.2473750246176,0.79514088695673,2.00158020912226,9.398634,64101.8034125988,OK
17,3354.97972301381,11.0086244316182,0.787309067958424,2.00153531744316,9.398633,269940.066937029,OK
18,3348.23249783498,9.32255606543513,0.571946695138016,2.00549724648671,9.398298,355542.52578047,OK
19,3348.3242678508,8.74829908521269,0.529305450542286,2.00548431689193,9.398495,500862.367565246,OK
2,3347.98801475133,24.3798537768621,1.28487934915851,2.00574442283767,9.39877,4183.98725081629,OK
20,3355.02185273902,10.1090884204149,0.615379487073133,2.00155937693922,9.398864,386226.622642949,OK
21,3354.93563472402,9.45897673511594,0.595859972512203,2.00157439804691,9.398693,535822.002236131,OK
22,3348.32032535294,8.32938217257432,0.486476225580164,2.00546384619253,9.398388,656385.503578996,OK
23,3348.27019991975,7.79885620930864,0.440847333471862,2.00544457668317,9.398157,962454.831667572,OK
24,3348.27885221615,6.6449914933593,0.321338214096969,2.0054428085917,9.398173,479903.495145559,OK
25,3354.82268117916,9.24681850877349,0.58169254016587,2.00160366739648,9.398514,26165.0962961925,OK
26,3354.88629156431,7.20776686636688,0.880986870981423,2.00156912341122,9.39853,707795.967988681,OK
27,3348.39790359619,6.10404927732954,0.129531909281288,2.00539497729147,9.398283,706976.008313908,OK
28,3348.533540422,5.44601539772715,0.253296337727445,2.00535236609853,9.398464,1165451.27081249,OK
29,3355.0190400542,6.1155984802541,0.488517885482062,2.00155913832941,9.398855,1066606.83035642,OK
3,3348.02122557815,19.9600045838037,1.27333973933728,2.00569721121,9.398642,13002.4508165132,OK
30,3355.12969069404,5.31742107605992,0.39668437882262,2.00154977272302,9.399121,2003096.17881703,OK
31,3348.74434997577,5,0.812801787000524,2.0052954664733,9.398789,2477953.17043351,OK
32,3348.92516423165,5,1.25430114905542,2.00515412858914,9.398634,9342933.48922705,OK
33,3355.03255516985,5,1.1030531280955,2.00156704719396,9.39893,8009786.62887793,OK
34,3355.03095781594,5,1.30109172393153,2.00162400784695,9.399193,16469202.6906888,OK
35,NaN,NaN,NaN,NaN,NaN,NaN,FAILED
36,NaN,NaN,NaN,NaN,NaN,NaN,FAILED
37,NaN,NaN,NaN,NaN,NaN,NaN,FAILED
38,NaN,NaN,NaN,NaN,NaN,NaN,FAILED
39,NaN,NaN,NaN,NaN,NaN,NaN,FAILED
4,3355.12551075553,25.4210182865684,1.25140820499031,2.00150073218389,9.398879,12932.5428955819,OK
5,3354.74994233901,20.8835819839434,1.09984879575748,2.00150011421109,9.397824,13298.4126746532,OK
6,3347.7359279661,16.4680645725047,1.06834071428124,2.00562462542743,9.397501,14265.7476364121,OK
7,3347.92815514918,14.6555093402227,0.969027210732713,2.00566376352907,9.398224,21274.4502604688,OK
8,3354.76180129353,18.7860025569535,1.03288649188044,2.00150028010397,9.397858,17385.5491911139,OK
9,3355.01697859352,16.8641362618289,0.952342961691983,2.00155568309614,9.398833,25152.874700966,OK
