spectrum_id,B0_G,dB_G,p,g_factor,mwFreq_GHz,run_name,status
1,3350.08,4.93,1.4908,2.00422,9.397464,20260420_183721,OK
2,3349.87,5.23,2.2921,2.00452,9.398293,20260420_183721,OK
3,3349.79,5.47,3.2467,2.00462,9.398544,20260420_183721,OK
4,3350.17,5.61,3.6540,2.00442,9.398663,20260420_183721,OK
5,3350.20,5.39,3.8678,2.00442,9.398756,20260420_183721,OK
6,3350.36,5.46,3.6431,2.00433,9.398803,20260420_183721,OK
7,3350.21,5.52,3.7682,2.00421,9.397787,20260420_183721,OK
8,3350.20,5.73,3.5904,2.00418,9.397644,20260420_183721,OK
9,3350.20,5.82,3.7054,2.00418,9.397653,20260420_183721,OK
10,3350.31,5.83,3.8870,2.00411,9.397641,20260420_183721,OK
11,3350.31,5.99,4.2389,2.00412,9.397641,20260420_183721,OK
12,3350.38,6.08,4.6454,2.00407,9.397618,20260420_183721,OK
13,3350.56,6.48,4.9999,2.00395,9.397570,20260420_183721,OK
14,3350.72,7.09,4.9999,2.00384,9.397484,20260420_183721,OK
15,3351.25,8.36,4.9999,2.00348,9.397293,20260420_183721,OK
