spectrum_id,B0_matlab,B0_easyspin,B0_cnn,dB_matlab,dB_easyspin,dB_cnn,p_matlab,p_easyspin,p_cnn
1,3350.78,3350.38,3350.08,5.06,4.91,4.93,1.4548,1.6123,1.4908
2,3351.07,3350.02,3349.87,5.41,5.28,5.23,2.3349,2.6134,2.2921
3,3351.30,3349.73,3349.79,5.69,5.66,5.47,3.0402,3.6499,3.2467
4,3351.46,3349.81,3350.17,5.80,5.84,5.61,3.4369,4.5086,3.6540
5,3351.63,3349.96,3350.20,5.71,5.77,5.39,3.4950,4.5085,3.8678
6,3351.82,3349.98,3350.36,5.60,5.66,5.46,3.3511,4.5083,3.6431
7,3351.85,3350.00,3350.21,5.73,5.83,5.52,3.4971,4.5086,3.7682
8,3351.82,3350.01,3350.20,5.77,5.85,5.73,3.3403,4.5089,3.5904
9,3351.94,3350.13,3350.20,5.94,5.97,5.82,3.3959,4.5084,3.7054
10,3352.15,3350.31,3350.31,6.10,6.11,5.83,3.5571,4.5084,3.8870
11,3352.26,3350.45,3350.31,6.25,6.25,5.99,3.7553,4.5084,4.2389
12,3352.65,3350.60,3350.38,6.42,6.40,6.08,4.0629,4.5085,4.6454
13,3352.67,3350.90,3350.56,6.84,6.79,6.48,4.5085,4.5085,4.9999
14,3353.05,3351.24,3350.72,7.41,7.30,7.09,4.5091,4.5085,4.9999
15,3353.89,3351.90,3351.25,8.83,8.47,8.36,4.5094,4.5085,4.9999
